audit_source,finding_title,finding_detail,action
2021 특정감사 출장(파견) 중복 여비과오지급 실태 점검,출장 관리 시스템 개선,ERP 출장시스템 문제로 인해 여비 과오지급이 발생하는 바해당 시스템 개선 필요,개선
2021 특정감사 출장(파견) 중복 여비과오지급 실태 점검,출장(파견)기간 중첩에 다른 여비 과오지급,중복 출장(파견)으로 여비 과오지급,시정
2021 특정감사 출장(파견) 중복 여비과오지급 실태 점검,파견기간 오입력에 의한 파견관리 부적정 및 여비 과오지급,파견기간이 실제 파견기간과 다르게 입력되어 여비 과오지급,시정
2023 특별감사 전력지사 직원 인사이동 적정성 점검 건,지사별 인사이동 기준 미흡,전력지사 공통 인사이동 기준 마련,개선
2023 특별감사 전력지사 직원 인사이동 적정성 점검 건,지사 인사이동 부적정,지사 내 인사이동 기준 미적용 이동,부서경고
2024 특정조사 기술지원실 취업규칙 및 임직원행동강령 위반 조사 건,규율 질서 문란 및 직무태만,임직원행동강령 제32조 취업규칙 제9조 제1호 및 제10조 제3호 위반에 대한 책임을 물어 징계 처분 요구,경징계
2024 특정조사 기술지원실 취업규칙 및 임직원행동강령 위반 조사 건,직장문화 저해 및 규율 질서 문란,임직원행동강령 제32조 위반에 대한 책임을 물어 경고 처분 요구,경고
2024 특정조사 사업소 수의계약체결 적정성 건,수의계약 사유 및 계약 절차 부적정,국가계약법 제26조 및 계약관리규정 제22조 제51조 제112조 위반,부서경고
2022년 특정조사 사업소 징계처분 관련 인사위원회 개최 적정성 검토 건,관리감독 소홀,인사위원회 절차 관련 관리감독을 수행하지 못한 귀책이 인정되므로 취업규칙 제9조 (기본적 사항)를 위반한 책임을 물어 엄중 경고 처분 요구,경고
2022년 특정조사 사업소 징계처분 관련 인사위원회 개최 적정성 검토 건,업무처리 부적정,인사위원회 개최 관련 규정 및 절차에 대한 검토를 소홀히 한 책임이 인정되므로 취업규칙 제9조 (기본적 사항)를 위반한 책임을 물어 엄중 경고 처분 요구,경고
2022년 특정조사 사업소 징계처분 관련 인사위원회 개최 적정성 검토 건,업무처리 부적정,인사위원회 개최 관련 다수의 절차 위반사항을 발생시킨 책임이 인정되므로 취업규칙 제9조 (기본적 사항)를 위반한 책임을 물어 엄중 주의 처분,주의
2022년 특정조사 사업소 징계처분 항고 재조사 건,직무상 의무위반 및 직무태만,취업규칙 제9조 (기본적 사항) 및 임직원 행동강령 제32조 (건전한 직장문화의 조성)를 위반한 책임을 물어 징계 처분 요구,감봉
2022년 특정조사 사업소 징계처분 항고 재조사 건,업무처리 관리감독 부적정,관리자로서 업무처리에 부적정한 책임이 인정되므로 취업규칙 제9조 (기본적 사항)를 위반한 책임을 물어 엄중 주의 처분,주의
2022년 특정조사 사업소 징계처분 항고 재조사 건,안전관리 부적정,안전보건관리규정 제27조(안전순찰)를 위반한 책임을 물어 엄중 주의 처분,주의
2022년 특정조사 사업처 징계처분 항고 재조사 건,직무상 의무위반 및 직무태만,취업규칙 제9조 (기본적 사항) 및 임직원 행동강령 제32조를 위반한 책임을 물어 엄중 경고 처분 요구,경고
2022년 특정조사 사업처 징계처분 항고 재조사 건,업무처리 관리감독 부적정,취업규칙 제9조 (기본적 사항)를 위반한 책임을 물어 엄중 주의 처분,주의
2021 특별감사 전력지사 출장소 업무처리 부적정 조사 건,업무처리 부적정,업무절차 미준수 및 예산낭비를 초래한 사실이 인정되므로 취업규칙 제9조 (기본적 사항)를 위반한 책임을 물어 징계 처분 요구,인사위회부
2021 특별감사 전력지사 출장소 업무처리 부적정 조사 건,업무처리 부적정,업무절차 미준수 및 예산낭비 초래에 대한 관리소홀이 인정되므로 취업규칙 제9조 (기본적 사항)를 위반한 책임을 물어 징계 처분 요구,인사위회부
2021 특별감사 전력지사 출장소 업무처리 부적정 조사 건,업무처리 관리감독 부적정,지사장으로서 부하직원들의 업무처리 부적정에 대한 관리 감독 책임이 인정되므로 경고 처분 요구,경고
2021 특별감사 전력지사 출장소 업무처리 부적정 조사 건,업무처리 관리감독 부적정,총무팀장으로서 관할 출장소 직원들의 업무처리 부적정에 대한 관리책임이 인정되므로 경고 처분 요구,경고
2021 특별감사 전력지사 출장소 업무처리 부적정 조사 건,전력지사 업무담당자 대상 재강조 교육,업무처리 미흡 유사사례 재발 방지,시정
2021 특별감사 전력지사 출장소 업무처리 부적정 조사 건,업무처리 관련 운영요령,단가책정 관련서류 교차검토 절차 강화,개선
2021 특별감사 전력지사 출장소 업무처리 부적정 조사 건,업무처리 관련 규정 개정 검토,상벌규정 등,개선
2021 특별감사 전력지사 출장소 업무처리 부적정 조사 건,업무처리 관련 매뉴얼 전반적 검토․보완,업무처리 중 발생가능 상황 및 이의제기 대응 등,개선
2019 특정조사 사업처 하도급공사 운영관리 부적정 건,취업규칙 위반,예산낭비와 사손을 초래하고 하도급공사관리가 소홀하여 직무상의무위반 및취업규칙 위반의 책임을 물어 징계처분 요구,인사위회부
2019 특정조사 사업처 하도급공사 운영관리 부적정 건,취업규칙 위반,하도급공사 정산관련 검토가 소홀하여취업규칙 및 직무상의무 위반에 대한 책임을물어징계처분 요구,인사위회부
2019 특정조사 사업처 하도급공사 운영관리 부적정 건,취업규칙 위반,부하직원이 예산낭비와 사손을 초래하는등 부적정 행위에 대하여 주의를 기울이지못한 관리책임을 물어 징계처분 요구,인사위회부
2019 특정조사 사업처 하도급공사 운영관리 부적정 건,취업규칙 위반,하도급공사 정산관련 공사의 검토가 소홀하고정산업무가 부적정하여 취업규칙 및직무상의무 위반의 책임을 물어 징계처분 요구,인사위회부
2019 특정조사 사업처 하도급공사 운영관리 부적정 건,업무처리부당,하도급공사 감독업무가 소홀하고 업무처리가 부당한 책임을 물어 경고처분 요구,경고
2019 특정조사 사업처 하도급공사 운영관리 부적정 건,업무처리부당,하도급공사 감독업무가 소홀하고 업무처리가 부당한 책임을 물어 경고처분 요구,경고
2019 특정조사 사업처 하도급공사 운영관리 부적정 건,업무처리부당,하도급공사 감독업무가 소홀하고 업무처리가 부당한 책임을 물어 경고처분 요구,경고
2019 특정조사 사업처 하도급공사 운영관리 부적정 건,업무처리부당,하도급공사 감독업무가 소홀하고 업무처리가 부당한 책임을 물어 경고처분 요구,경고
2019 특정조사 정비품질 저하 사례 건,입구 및 출구배관 조립시 면접촉 여부 확인 절차 누락,입구 및 출구배관 조립시 면접촉 여부 확인 절차마련 및 개선,개선
2019 특정감사 기술원 2단계 입찰 실태 점검,취업규칙 위반(제52조 1호),연구과제 수행 계약 체결 과정에서 기술평가 업무를 미흡하게 수행한 사실이 인정되므로 취업규칙 제9조(기본적 사항) 및 임직원 행동강령 제25조(청렴한 계약의 체결 및 이행)을 위반한 책임을 물어 징계 처분 요구,인사위회부
2019 특정감사 기술원 2단계 입찰 실태 점검,취업규칙 위반(제52조 1호),연구과제 수행 계약 체결 과정에서 기술규격서 작성을 소홀히 한 사실이 인정되므로 취업규칙 제9조(기본적 사항) 및 임직원 행동강령 제25조(청렴한 계약의 체결 및 이행)을 위반한 책임을 물어 징계 처분 요구,인사위회부
2019 특정감사 기술원 2단계 입찰 실태 점검,취업규칙 위반(제52조 1호),연구과제 수행 계약 체결 과정에서 공정업무 수행 관리 소홀이 인정되므로 취업규칙 제9조(기본적 사항)를 위반한 책임을 물어 경고처분 요구,경고
2019 특정감사 기술원 2단계 입찰 실태 점검,취업규칙 위반(제52조 1호),연구과제 수행 계약 체결 과정에서 공정업무 수행 관리 소홀이 인정되므로 취업규칙 제9조(기본적 사항)를 위반한 책임을 물어 경고처분 요구,경고
2019 특정감사 기술원 2단계 입찰 실태 점검,취업규칙 위반(제52조 1호),연구과제 기술평가위원장으로서 평가 공정성을 확보하는 데에 소홀한 점이 인정되므로 취업규칙 제9조(기본적 사항)를 위반한 책임을 물어 경고 처분 요구,경고
2019 13차 종합감사,해외현지조직 차량운영기준,임차차량 관리현황 점검 결과 운영일지를 기록 비치 관리 부실,개선
2019 13차 종합감사,회계처리 업무 소홀,차량임차료의 일부 회계처리를 익년도에 지연하여 처리하고 자재를 구매함에 있어 채무전표 작성시 분기별 합산 또는 소액거래건을 일괄계상하여 확인에 혼란을 초래하는 등 관련업무 처리 소홀,경고
2019 13차 종합감사,회계처리 업무 소홀,회계담당자는 현지직원 간식 구입 등의 목적으로 부득이 현금을 사용함에 있어 적절한 승인절차를 거치지 아니하고 담당자가 임의로 금고에서 인출하여 현금 사용,경고
2019 13차 종합감사,현지직원 초과근무 관리 소홀,현지 근로기준 상 일근 근무자의 경우 최대 3시간 초과 근무 수당만 지급 가능하지만 4시간의 초과 근무 수당 지급한 기계부장,경고
